dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,parity_fraction,max_iter,osd_order,bp_method,mapping,llr_mode,bitplane_rate_mode,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.135588200064376,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,e3e1c010da1b47ce
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.265316800097935,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,f3fc4f84a2e38702
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,bsc_estimated,uniform,16,0,16,0,0.0,0.232421875,0.232421875,5632.0,0.55,2.4388121999800205,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,7aa11df3de6f663c
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.4004752000328153,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,fdb846bd989c0572
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,bsc_estimated,uniform,16,0,16,0,0.0,0.232421875,0.232421875,5632.0,0.55,2.4180810000980273,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,65128e2511ad8663
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.3074139000382274,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,7596c4c8f272f441
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,20,0,minimum_sum,gray,empirical_bitplane,uniform,16,0,16,0,0.0,0.232421875,0.232421875,5632.0,0.55,2.538176800007932,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,4105f1edb65f65f6
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.5,50,0,minimum_sum,gray,empirical_bitplane,uniform,16,0,16,0,0.0,0.232421875,0.232421875,5632.0,0.55,2.456596600008197,backend=ldpc.BpOsdDecoder; parity_fraction=0.5; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,0022503e2c0babb8
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,bsc_estimated,uniform,4,0,4,0,0.0,0.21875,0.21875,1008.0,0.39375,0.5713343000970781,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.21875; post_ir_ser=0.21875,6ee25f532f671b25
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,4,0,4,0,0.0,0.21875,0.21875,821.0,0.320703125,0.5799123999895528,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.21875; post_ir_ser=0.21875,e3e5c9d1db657f04
