dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,5.5596999591216445,4,75,150,44,32,0,11,11,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,63bd09359267310c
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,20.698699983768165,4,75,150,44,32,0,11,11,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,63bd09359267310c
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,False,0.21875,0.021875,0.03125,0.003125,230.0,48,21.93499996792525,4,75,150,48,32,0,12,12,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,63bd09359267310c
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,261.0,77,19.40330001525581,4,76,152,77,32,0,18,18,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,29020ebdb18ce89f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,246.0,64,22.295600036159158,4,75,150,64,32,0,15,15,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,29020ebdb18ce89f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,245.0,61,20.90379991568625,4,76,152,61,32,0,15,15,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,29020ebdb18ce89f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,238.0,56,15.317099983803928,4,75,150,56,32,0,14,14,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,29020ebdb18ce89f
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,386.0,54,8.075100020505488,4,150,300,54,32,0,18,18,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,381.0,49,22.761499974876642,4,150,300,49,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,379.0,47,17.863199929706752,4,150,300,47,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,378.0,46,34.37789995223284,4,150,300,46,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,254.0,72,14.630699995905161,4,75,150,72,32,0,18,18,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,250.0,64,23.926699999719858,4,77,154,64,32,0,15,15,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,244.0,62,21.466100006364286,4,75,150,62,32,0,15,15,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,249.0,65,34.80089991353452,4,76,152,65,32,0,14,14,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,254.0,72,44.10000005736947,4,75,150,72,32,0,18,18,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,c8e68be9f13a3ff7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,250.0,64,17.367799999192357,4,77,154,64,32,0,15,15,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,c8e68be9f13a3ff7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,244.0,62,18.53360002860427,4,75,150,62,32,0,15,15,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,c8e68be9f13a3ff7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,249.0,65,7.143499911762774,4,76,152,65,32,0,14,14,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,0,c8e68be9f13a3ff7
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,True,0.28125,0.028125,0.0,0.0,261.0,77,22.25339994765818,4,76,152,77,32,0,18,18,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,bbcdaabb0f38893b
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,246.0,64,36.090000066906214,4,75,150,64,32,0,15,15,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,bbcdaabb0f38893b
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,245.0,61,28.88530003838241,4,76,152,61,32,0,15,15,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,bbcdaabb0f38893b
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,238.0,56,16.655300045385957,4,75,150,56,32,0,14,14,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,bbcdaabb0f38893b
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.03125,0.003125,380.0,48,5.996300023980439,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,5.063300020992756,4,150,300,45,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,8.482700097374618,4,150,300,45,32,0,15,15,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,4.88929997663945,4,150,300,42,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,4,True,True,0.21875,0.021875,0.0,0.0,374.0,42,15.477300039492548,4,150,300,42,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,5,True,False,0.1875,0.01875,0.03125,0.003125,362.0,30,31.519899959675968,4,150,300,30,32,0,10,10,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,6,True,True,0.171875,0.0171875,0.0,0.0,365.0,33,12.35949993133545,4,150,300,33,32,0,11,11,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,7,True,True,0.25,0.025,0.0,0.0,380.0,48,6.772099994122982,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,8,True,True,0.25,0.025,0.0,0.0,380.0,48,4.181199939921498,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
