candidate_id,dbar_v,max_check_degree,worst_source_entropy,degraded_vs_baseline
lam_d2_0.75_d3_0.20_d4_0.05_d5_-0.00,2.2018,13,0.129751,True
lam_d2_0.75_d3_0.25_d4_0.00_d5_0.00,2.1818,13,4.142843,True
lam_d2_0.80_d3_0.00_d4_0.00_d5_0.20,2.2727,13,0.040377,True
lam_d2_0.80_d3_0.00_d4_0.05_d5_0.15,2.2599,13,0.059281,True
lam_d2_0.80_d3_0.00_d4_0.10_d5_0.10,2.2472,13,0.077254,True
lam_d2_0.80_d3_0.00_d4_0.15_d5_0.05,2.2346,13,0.044157,True
lam_d2_0.80_d3_0.00_d4_0.20_d5_-0.00,2.2222,13,0.009188,True
lam_d2_0.80_d3_0.05_d4_0.00_d5_0.15,2.2388,13,0.370025,True
lam_d2_0.80_d3_0.05_d4_0.05_d5_0.10,2.2263,13,0.136704,True
lam_d2_0.80_d3_0.05_d4_0.10_d5_0.05,2.2140,13,0.285205,True
lam_d2_0.80_d3_0.05_d4_0.15_d5_-0.00,2.2018,13,4.473887,True
lam_d2_0.80_d3_0.10_d4_0.00_d5_0.10,2.2059,13,0.164561,True
lam_d2_0.80_d3_0.10_d4_0.05_d5_0.05,2.1938,13,0.036368,True
lam_d2_0.80_d3_0.10_d4_0.10_d5_-0.00,2.1818,13,0.007563,True
lam_d2_0.80_d3_0.15_d4_0.00_d5_0.05,2.1739,13,0.060098,True
lam_d2_0.80_d3_0.15_d4_0.05_d5_-0.00,2.1622,13,0.012739,True
lam_d2_0.85_d3_0.00_d4_0.00_d5_0.15,2.1978,13,4.111857,True
lam_d2_0.85_d3_0.00_d4_0.05_d5_0.10,2.1858,13,0.043023,True
lam_d2_0.85_d3_0.00_d4_0.10_d5_0.05,2.1739,13,0.003789,True
lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,2.1622,13,0.000000,False
lam_d2_0.85_d3_0.05_d4_0.00_d5_0.10,2.1661,13,0.053545,True
lam_d2_0.85_d3_0.05_d4_0.05_d5_0.05,2.1544,12,0.003958,True
