candidate_id,lambda_edge,dbar_v,max_check_degree
lam_d2_0.80_d3_0.00_d4_0.20_d5_-0.00,"{2: 0.8, 4: 0.2}",2.2222,13
lam_d2_0.80_d3_0.05_d4_0.00_d5_0.15,"{2: 0.8, 3: 0.05, 5: 0.15}",2.2388,13
lam_d2_0.80_d3_0.05_d4_0.05_d5_0.10,"{2: 0.8, 3: 0.05, 4: 0.05, 5: 0.1}",2.2263,13
lam_d2_0.80_d3_0.05_d4_0.10_d5_0.05,"{2: 0.8, 3: 0.05, 4: 0.1, 5: 0.05}",2.2140,13
lam_d2_0.80_d3_0.05_d4_0.15_d5_-0.00,"{2: 0.8, 3: 0.05, 4: 0.15}",2.2018,13
lam_d2_0.80_d3_0.10_d4_0.00_d5_0.10,"{2: 0.8, 3: 0.1, 5: 0.1}",2.2059,13
lam_d2_0.80_d3_0.10_d4_0.05_d5_0.05,"{2: 0.8, 3: 0.1, 4: 0.05, 5: 0.05}",2.1938,13
lam_d2_0.80_d3_0.10_d4_0.10_d5_-0.00,"{2: 0.8, 3: 0.1, 4: 0.1}",2.1818,13
lam_d2_0.80_d3_0.15_d4_0.00_d5_0.05,"{2: 0.8, 3: 0.15, 5: 0.05}",2.1739,13
lam_d2_0.80_d3_0.15_d4_0.05_d5_-0.00,"{2: 0.8, 3: 0.15, 4: 0.05}",2.1622,13
lam_d2_0.85_d3_0.00_d4_0.00_d5_0.15,"{2: 0.85, 5: 0.15}",2.1978,13
lam_d2_0.85_d3_0.00_d4_0.05_d5_0.10,"{2: 0.85, 4: 0.05, 5: 0.1}",2.1858,13
lam_d2_0.85_d3_0.00_d4_0.10_d5_0.05,"{2: 0.85, 4: 0.1, 5: 0.05}",2.1739,13
lam_d2_0.85_d3_0.00_d4_0.15_d5_0.00,"{2: 0.85, 4: 0.15}",2.1622,13
lam_d2_0.85_d3_0.05_d4_0.00_d5_0.10,"{2: 0.85, 3: 0.05, 5: 0.1}",2.1661,13
lam_d2_0.85_d3_0.05_d4_0.05_d5_0.05,"{2: 0.85, 3: 0.05, 4: 0.05, 5: 0.05}",2.1544,12
