phase,method,frame_id,stratum,role,status,reason,raw_ser,iterations,notes
retrospective_audit,nbldpc_v13_r3_code_v1,70,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,80,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,95,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,100,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,108,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,116,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.078125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,148,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,155,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.12109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,167,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,175,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,176,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,177,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.06640625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,180,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.109375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,182,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,184,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,187,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,195,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.05859375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,199,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,204,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,207,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,209,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.078125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,220,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,225,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.109375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,229,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,233,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,243,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,257,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,264,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,276,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,279,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,288,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.12109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,307,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,308,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,315,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.078125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,322,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,329,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0703125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,358,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,368,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,369,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,383,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,397,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.05859375,2,hook_equivalence=ok
