source_tag,frame_id,raw_ser,bitplane_mismatch,max_bitplane_mismatch,min_bitplane_mismatch,lsb_mismatch,msb_mismatch,final_entropy,stagnation_iterations,oscillation_detected
type2_1p5M_20260121_183806,1610,0.24609375,"[0.0, 0.00390625, 0.0, 0.0078125, 0.0078125, 0.00390625, 0.01953125, 0.03515625, 0.046875, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.09583041024684419,47,False
type2_1p5M_20260121_183806,1635,0.234375,"[0.0, 0.0, 0.00390625, 0.0, 0.0, 0.0078125, 0.00390625, 0.015625, 0.07421875, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.05819938959813932,49,True
type2_1p5M_20260121_183806,1699,0.2578125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.015625, 0.03515625, 0.0625, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.056162647292996117,49,False
type2_1p5M_20260121_183806,1840,0.265625,"[0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.0078125, 0.02734375, 0.046875, 0.0703125, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.05399464272374685,47,False
type2_1p5M_20260121_183806,1890,0.23046875,"[0.0, 0.00390625, 0.0, 0.00390625, 0.0, 0.015625, 0.01171875, 0.03515625, 0.078125, 0.08203125]",0.08203125,0.0,0.08203125,0.0,0.054551629732300475,55,False
type2_1p5M_20260121_183806,2286,0.25390625,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.015625, 0.01953125, 0.0234375, 0.06640625, 0.125]",0.125,0.0,0.125,0.0,0.04715657317384363,65,True
type2_1p5M_20260121_183806,2363,0.234375,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.01171875, 0.00390625, 0.01953125, 0.06640625, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.17946326304565985,59,False
type2_1p5M_20260121_183806,2388,0.2421875,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.00390625, 0.03125, 0.0703125, 0.125]",0.125,0.0,0.125,0.0,0.0876142400636177,76,True
type2_1p5M_20260121_183806,2434,0.24609375,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0078125, 0.01953125, 0.03515625, 0.05859375, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.04059193389241618,51,False
type2_1p5M_20260121_183806,2516,0.30078125,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.01953125, 0.0234375, 0.046875, 0.05859375, 0.1484375]",0.1484375,0.0,0.1484375,0.0,0.0833255712438103,44,False
type2_1p5M_20260121_183806,2521,0.25,"[0.0, 0.0, 0.0, 0.0078125, 0.01171875, 0.0, 0.02734375, 0.0390625, 0.0390625, 0.125]",0.125,0.0,0.125,0.0,0.07368350094240726,50,True
