call_idx,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
87,1.2,2026091305,L2_MARGINAL,L2,52,64,False,False,90,ok,True,42,38,0.3796961090010882,105172992,0.9997336742993765,0.20190020510481627,3.593710633067062,True,CHECK_UPDATED_CURRENT_BELIEF
88,1.2,2026091305,L2_ORACLE_U1,L2,52,64,True,True,15,ok,True,0,0,0.06406230199718266,105172992,1.0,0.9603124507549908,0.18528033888835227,True,CHECK_UPDATED_CURRENT_BELIEF
89,1.2,2026091306,L1_MARGINAL,L1,59,64,False,False,90,ok,True,21,19,0.4259671090003394,105172992,1.0,0.5939815725533588,1.90344443530806,True,CHECK_UPDATED_CURRENT_BELIEF
90,1.2,2026091306,L1_ORACLE_U2,L1,59,64,True,True,4,ok,True,0,0,0.019372782000573352,105172992,1.0,0.9999999999822091,5.542807652578803e-10,True,CHECK_UPDATED_CURRENT_BELIEF
91,1.2,2026091306,L2_MARGINAL,L2,52,64,False,False,90,ok,True,37,36,0.37556575299822725,105172992,0.99999580581281,0.2569488750051765,3.601792709731602,True,CHECK_UPDATED_CURRENT_BELIEF
92,1.2,2026091306,L2_ORACLE_U1,L2,52,64,True,True,3,ok,True,0,0,0.012888846002169885,105172992,1.0,0.9694746055434873,0.14925576569644652,True,CHECK_UPDATED_CURRENT_BELIEF
93,1.2,2026091307,L1_MARGINAL,L1,59,64,False,False,90,ok,True,40,52,0.43027641600201605,105172992,0.7000878618458213,0.16152799517946848,4.040514928847289,True,CHECK_UPDATED_CURRENT_BELIEF
94,1.2,2026091307,L1_ORACLE_U2,L1,59,64,True,True,3,ok,True,0,0,0.014243072000681423,105172992,1.0,0.999981186117659,0.000257505169359179,True,CHECK_UPDATED_CURRENT_BELIEF
95,1.2,2026091307,L2_MARGINAL,L2,52,64,False,False,90,ok,True,35,23,0.38298627299809596,105172992,0.9999073158410101,0.3693366239691653,2.7412611152107185,True,CHECK_UPDATED_CURRENT_BELIEF
96,1.2,2026091307,L2_ORACLE_U1,L2,52,64,True,True,6,ok,True,0,0,0.025338816998555558,105172992,1.0,0.9599348418378472,0.2496627067336179,True,CHECK_UPDATED_CURRENT_BELIEF
97,1.2,2026091308,L1_MARGINAL,L1,59,64,False,False,90,ok,True,47,49,0.4291140070017718,105172992,0.6118938553215941,0.11637269039626841,4.037344938086921,True,CHECK_UPDATED_CURRENT_BELIEF
98,1.2,2026091308,L1_ORACLE_U2,L1,59,64,True,True,4,ok,True,0,0,0.020156321999820648,105172992,1.0,0.9992358739217655,0.007625039342259553,True,CHECK_UPDATED_CURRENT_BELIEF
99,1.2,2026091308,L2_MARGINAL,L2,52,64,False,False,90,ok,True,43,39,0.37635058800151455,105172992,0.6674798453096721,0.1462543473068993,3.99995281182968,True,CHECK_UPDATED_CURRENT_BELIEF
100,1.2,2026091308,L2_ORACLE_U1,L2,52,64,True,True,9,ok,True,0,0,0.03716439300114871,105172992,1.0,0.996402979656645,0.024178339136662893,True,CHECK_UPDATED_CURRENT_BELIEF
101,1.2,2026091309,L1_MARGINAL,L1,59,64,True,True,80,ok,True,0,0,0.3837200079979084,105172992,1.0,0.99363115902754,0.05253309170234605,True,CHECK_UPDATED_CURRENT_BELIEF
102,1.2,2026091309,L1_ORACLE_U2,L1,59,64,True,True,3,ok,True,0,0,0.015181716000370216,105172992,1.0,0.9992939376316037,0.005631603864344055,True,CHECK_UPDATED_CURRENT_BELIEF
103,1.2,2026091309,L2_MARGINAL,L2,52,64,False,False,90,ok,True,43,44,0.38432546900003217,105172992,0.7586680851987948,0.16002975856257948,4.042285120451335,True,CHECK_UPDATED_CURRENT_BELIEF
104,1.2,2026091309,L2_ORACLE_U1,L2,52,64,False,False,90,ok,True,15,6,0.3848301630023343,105172992,1.0,0.7664566391341308,0.18326152970944895,True,CHECK_UPDATED_CURRENT_BELIEF
105,1.2,2026091310,L1_MARGINAL,L1,59,64,False,False,90,ok,True,5,3,0.43305062299987185,105172992,1.0,0.9218750000039733,0.09865174056981289,True,CHECK_UPDATED_CURRENT_BELIEF
106,1.2,2026091310,L1_ORACLE_U2,L1,59,64,True,True,5,ok,True,0,0,0.024561944999732077,105172992,1.0,0.9999897710976786,0.0001560904594976051,True,CHECK_UPDATED_CURRENT_BELIEF
107,1.2,2026091310,L2_MARGINAL,L2,52,64,False,False,90,ok,True,46,38,0.3805609299997741,105172992,0.6455090071567156,0.13131953667200325,3.929072603342256,True,CHECK_UPDATED_CURRENT_BELIEF
108,1.2,2026091310,L2_ORACLE_U1,L2,52,64,False,False,90,ok,True,5,1,0.3815115010002046,105172992,1.0,0.9304043663511421,0.2476633990052757,True,CHECK_UPDATED_CURRENT_BELIEF
109,1.2,2026091311,L1_MARGINAL,L1,59,64,False,False,90,ok,True,28,18,0.4295234259989229,105172992,1.0,0.5634550721215181,1.0944657416492156,True,CHECK_UPDATED_CURRENT_BELIEF
110,1.2,2026091311,L1_ORACLE_U2,L1,59,64,True,True,3,ok,True,0,0,0.014484426999842981,105172992,1.0,0.9992795739913591,0.006483768752144467,True,CHECK_UPDATED_CURRENT_BELIEF
111,1.2,2026091311,L2_MARGINAL,L2,52,64,False,False,90,ok,True,43,48,0.38151182400179096,105172992,0.542535012052399,0.11873475690437595,4.170860576501358,True,CHECK_UPDATED_CURRENT_BELIEF
112,1.2,2026091311,L2_ORACLE_U1,L2,52,64,True,True,10,ok,True,0,0,0.04256048800016288,105172992,1.0,0.9659814794486413,0.14838475680483176,True,CHECK_UPDATED_CURRENT_BELIEF
113,1.2,2026091312,L1_MARGINAL,L1,59,64,False,False,90,ok,True,47,42,0.4358853630001249,105172992,0.6690954732140392,0.12917287447361472,3.814435430184528,True,CHECK_UPDATED_CURRENT_BELIEF
114,1.2,2026091312,L1_ORACLE_U2,L1,59,64,True,True,3,ok,True,0,0,0.014596184002584778,105172992,1.0,0.9999994234956054,9.642602466276112e-06,True,CHECK_UPDATED_CURRENT_BELIEF
115,1.2,2026091312,L2_MARGINAL,L2,52,64,False,False,90,ok,True,42,33,0.37657861299885553,105172992,0.8709756317815592,0.2079712799490778,3.613903474075973,True,CHECK_UPDATED_CURRENT_BELIEF
116,1.2,2026091312,L2_ORACLE_U1,L2,52,64,True,True,5,ok,True,0,0,0.021727694998844527,105172992,1.0,0.9827557354003136,0.08016788092118766,True,CHECK_UPDATED_CURRENT_BELIEF
117,1.2,2026091313,L1_MARGINAL,L1,59,64,False,False,90,ok,True,36,38,0.42910516200208804,105172992,0.8401817632595447,0.23765391810338315,3.542558746286536,True,CHECK_UPDATED_CURRENT_BELIEF
118,1.2,2026091313,L1_ORACLE_U2,L1,59,64,True,True,2,ok,True,0,0,0.009865534000709886,105172992,0.9999999999952698,0.9735505648586551,0.14405194453963782,True,CHECK_UPDATED_CURRENT_BELIEF
119,1.2,2026091313,L2_MARGINAL,L2,52,64,False,False,90,ok,True,39,28,0.37869665499965777,105172992,0.9999857252517607,0.3311238951434811,2.921791709974376,True,CHECK_UPDATED_CURRENT_BELIEF
120,1.2,2026091313,L2_ORACLE_U1,L2,52,64,True,True,17,ok,True,0,0,0.07276616800299962,105172992,1.0,0.9999991019643306,1.6253987262364852e-05,True,CHECK_UPDATED_CURRENT_BELIEF
