arm,n,layer,prefix_rows,row_degree_min,rows_below_degree_2,row_degree_hist,variable_degree_min,variable_degree_max,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,m_cycle_rank,girth,girth_reason,row_degree_max,row_degree_sumsq,frozen_eligible,i1_pass,new_eligible,determinism_replay,build_wall_s
T3_SC_DV3_W4,256,L1,236,1,40,"{""1"": 40, ""3"": 79, ""4"": 117}",2,3,236,0,0,1,1.0,0,0,0,,4,,4,2623,True,False,False,True,0.0
T3_SC_DV3_W4,256,L1,256,1,57,"{""1"": 57, ""2"": 3, ""3"": 79, ""4"": 117}",3,3,256,0,0,1,1.0,0,0,0,,4,,4,2652,True,False,False,True,0.0
T3_SC_DV3_W4,256,L2,172,3,0,"{""3"": 7, ""4"": 165}",2,3,172,0,0,1,1.0,0,0,0,,4,,4,2703,True,True,True,True,0.0
T3_SC_DV3_W4,256,L2,208,1,36,"{""1"": 36, ""3"": 7, ""4"": 165}",2,3,208,0,0,1,1.0,0,0,0,,4,,4,2739,True,False,False,True,0.0
T3_SC_DV3_W4,256,L2,256,1,81,"{""1"": 81, ""2"": 3, ""3"": 7, ""4"": 165}",3,3,256,0,0,1,1.0,0,0,0,,4,,4,2796,True,False,False,True,0.0
T4_SC_DV3_W8,64,L1,49,2,0,"{""2"": 4, ""3"": 24, ""4"": 16, ""5"": 4, ""6"": 1}",2,3,49,0,0,1,1.0,0,0,0,,4,,6,624,True,True,True,True,0.0
T4_SC_DV3_W8,64,L1,59,1,8,"{""1"": 8, ""2"": 6, ""3"": 24, ""4"": 16, ""5"": 4, ""6"": 1}",2,3,59,0,0,1,1.0,0,0,0,,4,,6,640,True,False,False,True,0.0
T4_SC_DV3_W8,64,L1,64,1,8,"{""1"": 8, ""2"": 11, ""3"": 24, ""4"": 16, ""5"": 4, ""6"": 1}",3,3,64,0,0,1,1.0,0,0,0,,4,,6,660,True,False,False,True,0.0
T4_SC_DV3_W8,64,L2,43,2,0,"{""2"": 2, ""3"": 10, ""4"": 26, ""5"": 4, ""6"": 1}",2,3,43,0,0,1,1.0,0,0,0,,4,,6,650,True,True,True,True,0.0
T4_SC_DV3_W8,64,L2,52,1,9,"{""1"": 9, ""2"": 2, ""3"": 10, ""4"": 26, ""5"": 4, ""6"": 1}",2,3,52,0,0,1,1.0,0,0,0,,4,,6,659,True,False,False,True,0.0
T4_SC_DV3_W8,64,L2,64,1,14,"{""1"": 14, ""2"": 9, ""3"": 10, ""4"": 26, ""5"": 4, ""6"": 1}",3,3,64,0,0,1,1.0,0,0,0,,4,,6,692,True,False,False,True,0.0
T4_SC_DV3_W8,128,L1,98,2,0,"{""2"": 4, ""3"": 43, ""4"": 46, ""5"": 4, ""6"": 1}",2,3,98,0,0,1,1.0,0,0,0,,4,,6,1275,True,True,True,True,0.0
T4_SC_DV3_W8,128,L1,118,1,20,"{""1"": 20, ""2"": 4, ""3"": 43, ""4"": 46, ""5"": 4, ""6"": 1}",2,3,118,0,0,1,1.0,0,0,0,,4,,6,1295,True,False,False,True,0.0
T4_SC_DV3_W8,128,L1,128,1,23,"{""1"": 23, ""2"": 11, ""3"": 43, ""4"": 46, ""5"": 4, ""6"": 1}",3,3,128,0,0,1,1.0,0,0,0,,4,,6,1326,True,False,False,True,0.0
T4_SC_DV3_W8,128,L2,86,2,0,"{""2"": 2, ""3"": 11, ""4"": 68, ""5"": 4, ""6"": 1}",2,3,86,0,0,1,1.0,0,0,0,,4,,6,1331,True,True,True,True,0.0
T4_SC_DV3_W8,128,L2,104,1,18,"{""1"": 18, ""2"": 2, ""3"": 11, ""4"": 68, ""5"": 4, ""6"": 1}",2,3,104,0,0,1,1.0,0,0,0,,4,,6,1349,True,False,False,True,0.0
T4_SC_DV3_W8,128,L2,128,1,35,"{""1"": 35, ""2"": 9, ""3"": 11, ""4"": 68, ""5"": 4, ""6"": 1}",3,3,128,0,0,1,1.0,0,0,0,,4,,6,1394,True,False,False,True,0.0
T4_SC_DV3_W8,256,L1,196,2,0,"{""2"": 4, ""3"": 81, ""4"": 106, ""5"": 4, ""6"": 1}",2,3,196,0,0,1,1.0,0,0,0,,4,,6,2577,True,True,True,True,0.0
T4_SC_DV3_W8,256,L1,236,1,40,"{""1"": 40, ""2"": 4, ""3"": 81, ""4"": 106, ""5"": 4, ""6"": 1}",2,3,236,0,0,1,1.0,0,0,0,,4,,6,2617,True,False,False,True,0.0
T4_SC_DV3_W8,256,L1,256,1,53,"{""1"": 53, ""2"": 11, ""3"": 81, ""4"": 106, ""5"": 4, ""6"": 1}",3,3,256,0,0,1,1.0,0,0,0,,4,,6,2658,True,False,False,True,0.0
T4_SC_DV3_W8,256,L2,172,2,0,"{""2"": 2, ""3"": 13, ""4"": 152, ""5"": 4, ""6"": 1}",2,3,172,0,0,1,1.0,0,0,0,,4,,6,2693,True,True,True,True,0.0
T4_SC_DV3_W8,256,L2,208,1,36,"{""1"": 36, ""2"": 2, ""3"": 13, ""4"": 152, ""5"": 4, ""6"": 1}",2,3,208,0,0,1,1.0,0,0,0,,4,,6,2729,True,False,False,True,0.0
T4_SC_DV3_W8,256,L2,256,1,77,"{""1"": 77, ""2"": 9, ""3"": 13, ""4"": 152, ""5"": 4, ""6"": 1}",3,3,256,0,0,1,1.0,0,0,0,,4,,6,2798,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,64,L1,49,2,0,"{""2"": 19, ""3"": 30}",2,2,49,0,0,1,1.0,0,0,0,0,6,,3,346,True,True,True,True,0.0
