s1,ce_l1,ce_l2,ce_joint,ce_l1_std,ce_l2_std,ce_joint_std,chain_max_abs_err,m1,m2,eligible,wall_s
0-2-3-7-8,3.9064824964518063,3.2558649335069783,7.162347429958785,0.0073857434148241535,0.010923658543115389,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1600941999349743
0-2-3-7-9,3.904669190113558,3.257678239845227,7.162347429958785,0.008159131862205493,0.01015887042891892,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16286349995061755
0-2-3-8-9,3.9043588743662805,3.2579885555925046,7.162347429958785,0.007866010516552262,0.010453046357731895,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15978799993172288
0-2-4-5-6,3.9077850059808155,3.254562423977969,7.162347429958785,0.007940096711052098,0.010402328662602699,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15715250000357628
0-2-4-5-7,3.9081588064607606,3.254188623498024,7.162347429958785,0.0070697534118420655,0.011392082089043342,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1603756999829784
0-2-4-5-8,3.9067665099181057,3.2555809200406793,7.162347429958785,0.006551449355614693,0.011852058635445915,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1611834999639541
0-2-4-5-9,3.9041214137038214,3.258226016254963,7.162347429958785,0.00741827188037398,0.010992626733936738,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16033169999718666
0-2-4-6-7,3.9063043197607623,3.2560431101980223,7.162347429958785,0.0069640788528596165,0.01147744950983266,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1595924999564886
0-2-4-6-8,3.9058716138141367,3.256475816144648,7.162347429958785,0.007589212609976798,0.010828436703168234,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16007949993945658
0-2-4-6-9,3.9040842584533793,3.2582631715054053,7.162347429958785,0.007999797150658152,0.010499514281599722,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16064350004307926
0-2-4-7-8,3.906792877183874,3.255554552774911,7.162347429958785,0.0072717470996259545,0.011237636355381954,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16090599994640797
0-2-4-7-9,3.9040827345391915,3.258264695419593,7.162347429958785,0.007126264433119832,0.01147355420975331,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16043759998865426
0-2-4-8-9,3.9032789390360474,3.259068490922737,7.162347429958785,0.007683363184996051,0.010961105404580486,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1616658999118954
0-2-5-6-7,3.9067289730537906,3.255618456904994,7.162347429958785,0.006498142634150792,0.011907864591364968,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1604478000663221
0-2-5-6-8,3.9055512111851853,3.2567962187735993,7.162347429958785,0.008009392655026114,0.010592596393445345,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16060649999417365
0-2-5-6-9,3.9033977490872758,3.258949680871509,7.162347429958785,0.007399130661548987,0.0110090963629761,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1608105000341311
0-2-5-7-8,3.906997221583571,3.2553502083752135,7.162347429958785,0.005885365536842933,0.01246471055940449,0.01830165163340225,8.881784197001252e-16,61,51,True,0.15976999991107732
0-2-5-7-9,3.9032332645314014,3.259114165427383,7.162347429958785,0.005994107545869485,0.012512753551927921,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16352509998250753
0-2-5-8-9,3.903687307694107,3.258660122264678,7.162347429958785,0.0060186327288581625,0.01245451265633614,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16284360003191978
0-2-6-7-8,3.904867550504468,3.2574798794543165,7.162347429958785,0.006740264236511227,0.011620837937238332,0.01830165163340225,0.0,60,51,True,0.159680699929595
0-2-6-7-9,3.902879423385069,3.2594680065737154,7.162347429958785,0.006473072002433655,0.011905044360566903,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15823179995641112
0-2-6-8-9,3.903010879286713,3.2593365506720717,7.162347429958785,0.007662213386920509,0.010729581912573118,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1621205999981612
0-2-7-8-9,3.9034809211802353,3.2588665087785493,7.162347429958785,0.006754874194265536,0.011560002213547816,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16273770004045218
0-3-4-5-6,3.9071180071421057,3.255229422816679,7.162347429958785,0.00875686045900925,0.010192659652553863,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16227130009792745
0-3-4-5-7,3.9064062403180384,3.255941189640746,7.162347429958785,0.0080571699150551,0.01067478114120192,0.01830165163340225,8.881784197001252e-16,61,51,True,0.17112730001099408
0-3-4-5-8,3.9053084888186844,3.2570389411401006,7.162347429958785,0.007749453627623165,0.010766839138561855,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16490259999409318
0-3-4-5-9,3.9025278664417073,3.2598195635170772,7.162347429958785,0.007501017710829441,0.011135206210010285,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1590732999611646
0-3-4-6-7,3.905587261259202,3.256760168699583,7.162347429958785,0.007757936896333733,0.010747353676728681,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1596066999481991
0-3-4-6-8,3.905211561614202,3.257135868344583,7.162347429958785,0.007791363894965395,0.010627663009025902,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16335809999145567
0-3-4-6-9,3.9037768981277257,3.2585705318310594,7.162347429958785,0.007839091575415966,0.010641191913666147,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1604454000480473
0-3-4-7-8,3.905873471202087,3.2564739587566978,7.162347429958785,0.008011086839724482,0.010747815019771526,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1616368000395596
0-3-4-7-9,3.9034000222094454,3.258947407749339,7.162347429958785,0.00838307553133803,0.010612265698424977,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16004849993623793
0-3-4-8-9,3.901565770833317,3.2607816591254677,7.162347429958785,0.007931771722508021,0.010845954312379395,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1602718000067398
0-3-5-6-7,3.905695515729367,3.2566519142294177,7.162347429958785,0.009099225403110067,0.009224561441100423,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16211769997607917
0-3-5-6-8,3.904497482777275,3.2578499471815094,7.162347429958785,0.009629785209779798,0.008897795732555495,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16237699997145683
0-3-5-6-9,3.903703565399968,3.2586438645588167,7.162347429958785,0.009616825900067728,0.00869844878699764,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15961699991021305
0-3-5-7-8,3.905274551460601,3.2570728784981835,7.162347429958785,0.009710728140117992,0.008919814022441973,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16019810002762824
0-3-5-7-9,3.903229945140299,3.259117484818486,7.162347429958785,0.008589640176873076,0.010150469414562085,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16036300000268966
0-3-5-8-9,3.902698354222342,3.259649075736443,7.162347429958785,0.008369263179005309,0.010389550370436632,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1620711999712512
0-3-6-7-8,3.9025003068432946,3.25984712311549,7.162347429958785,0.007723591007361708,0.010622466537250512,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1635941999265924
0-3-6-7-9,3.9021690866696384,3.2601783432891462,7.162347429958785,0.007724586586987649,0.010624260182919029,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1595898000523448
0-3-6-8-9,3.9016500167761126,3.2606974131826725,7.162347429958785,0.008687686253093546,0.00972531014704885,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16039209999144077
0-3-7-8-9,3.9025920220509347,3.25975540790785,7.162347429958785,0.009097999056693461,0.009671836460331323,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1861646999605
0-4-5-6-7,3.905160359699082,3.257187070259702,7.162347429958785,0.007303078015041704,0.0110572045168612,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15925120003521442
0-4-5-6-8,3.903301629179057,3.259045800779727,7.162347429958785,0.008135139778577296,0.010383533116353432,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15605440002400428
0-4-5-6-9,3.901730954866653,3.260616475092132,7.162347429958785,0.009124599885215218,0.009307725091678093,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16309629997704178
0-4-5-7-8,3.9045985653991653,3.2577488645596198,7.162347429958785,0.007185296338885592,0.011150727923340969,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16067310003563762
0-4-5-7-9,3.901907833362151,3.2604395965966337,7.162347429958785,0.007523798522133683,0.011808963063531802,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15974250005092472
