partition,seed,geometry,mode,rows_l1,rows_l2,exact,syndrome_recomputed,syndrome_decoder_flag,flag_agree,iterations,nonfinite,crash,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok
4-6-7-8-9,2026090604,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.11747112596360508,0.5199467000784352,123678720,True
4-6-7-8-9,2026090604,square,L1,64,64,False,False,False,True,90,False,False,0.05661675698221156,0.5964516999665648,123699200,True
4-6-7-8-9,2026090604,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05673642511211188,0.5894749000435695,123703296,True
4-6-7-8-9,2026090604,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.11747112596360508,0.5818980999756604,123711488,True
4-6-7-8-9,2026090605,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.08714167748701537,0.5596737000159919,123711488,True
4-6-7-8-9,2026090605,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.05924784016346102,0.5160858000162989,123715584,True
4-6-7-8-9,2026090605,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.19407429280622737,0.5116054000100121,123715584,True
4-6-7-8-9,2026090605,square,L1,64,64,False,False,False,True,90,False,False,0.08714167748701537,0.5868037999607623,123723776,True
4-6-7-8-9,2026090605,square,L2-APP,64,64,False,False,False,True,90,False,False,0.08113023764735922,0.5924805999966338,123723776,True
4-6-7-8-9,2026090605,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.19407429280622737,0.5889929999830201,123727872,True
4-6-7-8-9,2026090606,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.0633199869917485,0.5638853000709787,123727872,True
4-6-7-8-9,2026090606,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.07080121923458702,0.505187000031583,123736064,True
4-6-7-8-9,2026090606,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.15279552624248685,0.5126992999576032,123736064,True
4-6-7-8-9,2026090606,square,L1,64,64,False,False,False,True,90,False,False,0.0633199869917485,0.5976957998936996,123744256,True
4-6-7-8-9,2026090606,square,L2-APP,64,64,False,False,False,True,90,False,False,0.061120873656245606,0.586051799939014,123752448,True
4-6-7-8-9,2026090606,square,L2-oracle,64,64,True,True,True,True,11,False,False,0.15279552624248685,0.07104270008858293,123772928,True
4-6-7-8-9,2026090607,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.07105687787035853,0.559974699979648,123772928,True
4-6-7-8-9,2026090607,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.06725861999928648,0.5351130999624729,123772928,True
4-6-7-8-9,2026090607,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.15705342120391688,0.5111520000500605,123772928,True
4-6-7-8-9,2026090607,square,L1,64,64,False,False,False,True,90,False,False,0.07105687787035853,0.5846581000369042,123781120,True
4-6-7-8-9,2026090607,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05965970645369268,0.588628500001505,123789312,True
4-6-7-8-9,2026090607,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.15705342120391688,0.590250700013712,123813888,True
0-1-2-3-4,2026090600,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.032078285607405034,0.5957223000004888,123813888,True
0-1-2-3-4,2026090600,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.0373893330500311,0.48925120010972023,123817984,True
0-1-2-3-4,2026090600,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.02835607377807153,0.4989966000430286,123817984,True
0-1-2-3-4,2026090600,square,L1,64,64,False,False,False,True,90,False,False,0.032078285607405034,0.5863489999901503,123826176,True
0-1-2-3-4,2026090600,square,L2-APP,64,64,False,False,False,True,90,False,False,0.027673326988005596,0.5846056999871507,123830272,True
0-1-2-3-4,2026090600,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.02835607377807153,0.5867851000512019,123830272,True
0-1-2-3-4,2026090601,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.03116885111585119,0.5861220000078902,123830272,True
0-1-2-3-4,2026090601,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.03005909353640254,0.49576870002783835,123830272,True
0-1-2-3-4,2026090601,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.049345781854871686,0.4966831000056118,123830272,True
0-1-2-3-4,2026090601,square,L1,64,64,False,False,False,True,90,False,False,0.03116885111585119,0.5848119000438601,123838464,True
0-1-2-3-4,2026090601,square,L2-APP,64,64,False,False,False,True,90,False,False,0.030350591047294664,0.5853557999944314,123850752,True
0-1-2-3-4,2026090601,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.049345781854871686,0.5886529000708833,123850752,True
0-1-2-3-4,2026090602,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.03693999367374132,0.5860792000312358,123854848,True
0-1-2-3-4,2026090602,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.03636704155618849,0.4922454000916332,123871232,True
0-1-2-3-4,2026090602,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.035439790655149614,0.4991216000635177,123871232,True
0-1-2-3-4,2026090602,square,L1,64,64,False,False,False,True,90,False,False,0.03693999367374132,0.5894726999104023,123879424,True
0-1-2-3-4,2026090602,square,L2-APP,64,64,False,False,False,True,90,False,False,0.03671680751389248,0.5910732999909669,123883520,True
0-1-2-3-4,2026090602,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.035439790655149614,0.5892632999457419,123883520,True
0-1-2-3-4,2026090603,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.03761694746848672,0.5806492000119761,123887616,True
0-1-2-3-4,2026090603,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.02365153404629073,0.4992500999942422,123895808,True
0-1-2-3-4,2026090603,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.032604547263815016,0.49097609997261316,123899904,True
0-1-2-3-4,2026090603,square,L1,64,64,False,False,False,True,90,False,False,0.03761694746848672,0.5869751999853179,123904000,True
0-1-2-3-4,2026090603,square,L2-APP,64,64,False,False,False,True,90,False,False,0.023537677017986744,0.5892495999578387,123908096,True
0-1-2-3-4,2026090603,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.032604547263815016,0.6017734999768436,123924480,True
0-1-2-3-4,2026090604,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.0325699021584064,0.5833781999535859,123928576,True
0-1-2-3-4,2026090604,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.03386341044660908,0.49109639995731413,123928576,True
0-1-2-3-4,2026090604,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.04654916955473073,0.4896028999937698,123928576,True
0-1-2-3-4,2026090604,square,L1,64,64,False,False,False,True,90,False,False,0.0325699021584064,0.5871235999511555,123932672,True
0-1-2-3-4,2026090604,square,L2-APP,64,64,False,False,False,True,90,False,False,0.03193399595600124,0.584595000022091,123936768,True
0-1-2-3-4,2026090604,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.04654916955473073,0.5883039999753237,123953152,True
