dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_per_input_bit,beta_eff_empirical,raw_ser,post_ir_ser
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,e70c48e72e0f514c,1.125,0.0,0.19921875,0.0
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,c0088d2836df2d57,1.125,0.0,0.19921875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,9670a15685aa444a,1.03125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,c0088d2836df2d57,1.125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.796875,0.0,0.1171875,0.109375
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,b07a3943cf9048dc,0.9375,0.0,0.1171875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,e8db1e33326bc16a,1.03125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,1b68567774e87e2e,0.625,0.0,0.1171875,0.109375
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,ec874e3fd7633e78,0.796875,0.0,0.1171875,0.109375
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,221e5a91339f6e44,0.9375,0.0,0.1171875,0.0
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,dc1d252b3b27a80e,0.625,0.0,0.1171875,0.109375
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,e70c48e72e0f514c,1.125,0.0,0.1171875,0.0
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,ec874e3fd7633e78,0.796875,0.0,0.23828125,0.1953125
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,e8db1e33326bc16a,1.03125,0.0,0.23828125,0.0
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.796875,0.0,0.23828125,0.1953125
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,b07a3943cf9048dc,0.9375,0.0,0.23828125,0.1171875
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,221e5a91339f6e44,0.9375,0.0,0.23828125,0.1171875
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,e70c48e72e0f514c,1.125,0.0,0.23828125,0.0
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,c0088d2836df2d57,1.125,0.0,0.23828125,0.0
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,9670a15685aa444a,1.03125,0.0,0.23828125,0.0
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,b07a3943cf9048dc,0.9125,0.0,0.23046875,0.078125
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,221e5a91339f6e44,0.9125,0.0,0.23046875,0.078125
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,9670a15685aa444a,1.00625,0.0,0.23046875,0.0
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,e70c48e72e0f514c,1.1,0.0,0.23046875,0.0
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,e8db1e33326bc16a,1.00625,0.0,0.23046875,0.0
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,c0088d2836df2d57,1.1,0.0,0.23046875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,221e5a91339f6e44,0.9125,0.0,0.16796875,0.0859375
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,b07a3943cf9048dc,0.9125,0.0,0.16796875,0.0859375
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,9670a15685aa444a,1.00625,0.0,0.16796875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,e70c48e72e0f514c,1.1,0.0,0.16796875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,e8db1e33326bc16a,1.00625,0.0,0.16796875,0.0
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc_lite,64,c0088d2836df2d57,1.1,0.0,0.16796875,0.0
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,b07a3943cf9048dc,0.9125,0.0,0.31640625,0.171875
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,221e5a91339f6e44,0.9125,0.0,0.31640625,0.171875
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,e8db1e33326bc16a,1.00625,0.0,0.31640625,0.1640625
