dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_actual_bits,leak_EC_per_input_bit,leakage_accounting
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,ec874e3fd7633e78,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,e70c48e72e0f514c,2688.0,1.05,raw_EC_bits
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,f3f67ce02bdd88ce,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,b07a3943cf9048dc,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,e8db1e33326bc16a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,9670a15685aa444a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,221e5a91339f6e44,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,e70c48e72e0f514c,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,c0088d2836df2d57,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,9670a15685aa444a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,c0088d2836df2d57,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,816.0,0.796875,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,b07a3943cf9048dc,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,e8db1e33326bc16a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,1b68567774e87e2e,640.0,0.625,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,ec874e3fd7633e78,816.0,0.796875,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,221e5a91339f6e44,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,dc1d252b3b27a80e,640.0,0.625,raw_EC_bits
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc_lite,64,e70c48e72e0f514c,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,dc1d252b3b27a80e,640.0,0.625,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,ec874e3fd7633e78,816.0,0.796875,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,1b68567774e87e2e,640.0,0.625,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,e8db1e33326bc16a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,f3f67ce02bdd88ce,816.0,0.796875,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,b07a3943cf9048dc,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,221e5a91339f6e44,960.0,0.9375,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,e70c48e72e0f514c,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,c0088d2836df2d57,1152.0,1.125,raw_EC_bits
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc_lite,64,9670a15685aa444a,1056.0,1.03125,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,dc1d252b3b27a80e,768.0,0.6,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,ec874e3fd7633e78,988.0,0.771875,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,f3f67ce02bdd88ce,988.0,0.771875,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,1b68567774e87e2e,768.0,0.6,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,b07a3943cf9048dc,1168.0,0.9125,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,221e5a91339f6e44,1168.0,0.9125,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,9670a15685aa444a,1288.0,1.00625,raw_EC_bits
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc_lite,64,e70c48e72e0f514c,1408.0,1.1,raw_EC_bits
