n,plane_id,candidate_id,stratum_id,frame_id,attempted,status,terminal_prefix_id,rounds_attempted,syndrome_bits_disclosed,exact_match,policy_id,p_hat,backend_identity,runtime_s,role,source_sha256
256,0,1,p002,dev_n256_plane00_p002_f14,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002397999633103609,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f15,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00024339999072253704,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,2,p001,dev_n256_plane00_p001_f00,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0003513001138344407,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f01,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002709000837057829,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f02,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002524999435991049,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f03,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00024610001128166914,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f04,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002429999876767397,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f05,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00024670001585036516,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f06,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00024690001737326384,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,2,p001,dev_n256_plane00_p001_f07,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.000228599994443357,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
