call_idx,arm,n,seed,point,rows_l1,rows_l2,mode,matrix_id,exact,syndrome_ok,iterations,finite,crash,timeout,wall_timeout,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok,worker_pid,respawn_pid,error
77,M1_ACCUMULATOR_FOREST_MAX,64,2026091000,square,64,64,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.2877420345242554,0.005327599821612239,88121344,True,40600,,ValueError('Check node requires degree >= 2')
78,M1_ACCUMULATOR_FOREST_MAX,64,2026091001,f1.2,59,52,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.2822000156152909,0.005095900036394596,88268800,True,33636,,ValueError('Check node requires degree >= 2')
79,M1_ACCUMULATOR_FOREST_MAX,64,2026091001,square,64,64,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.0877572481655559,0.005433199927210808,88125440,True,40600,,ValueError('Check node requires degree >= 2')
80,M1_ACCUMULATOR_FOREST_MAX,64,2026091002,f1.2,59,52,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.08255773208352536,0.0053616000805050135,88272896,True,33636,,ValueError('Check node requires degree >= 2')
81,B0_D5_DV3_NATIVE,64,2026091001,square,64,64,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.2822000156152909,0.014759700046852231,88178688,True,16964,,
82,M1_ACCUMULATOR_FOREST_MAX,64,2026091001,square,64,64,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.2822000156152909,0.005386300152167678,88125440,True,40600,,ValueError('Check node requires degree >= 2')
83,M1_ACCUMULATOR_FOREST_MAX,64,2026091002,f1.2,59,52,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.23389765318024605,0.0050842000637203455,88272896,True,33636,,ValueError('Check node requires degree >= 2')
84,M1_ACCUMULATOR_FOREST_MAX,64,2026091002,square,64,64,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.08255773208352536,0.005397200118750334,88125440,True,40600,,ValueError('Check node requires degree >= 2')
85,M1_ACCUMULATOR_FOREST_MAX,64,2026091003,f1.2,59,52,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.12199030756002073,0.00530010019429028,88293376,True,33636,,ValueError('Check node requires degree >= 2')
86,M1_ACCUMULATOR_FOREST_MAX,64,2026091002,square,64,64,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.23389765318024605,0.00536489998921752,88133632,True,40600,,ValueError('Check node requires degree >= 2')
87,M1_ACCUMULATOR_FOREST_MAX,64,2026091003,f1.2,59,52,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.33478823024061705,0.005801100051030517,88305664,True,33636,,ValueError('Check node requires degree >= 2')
88,M1_ACCUMULATOR_FOREST_MAX,64,2026091003,square,64,64,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.12199030756002073,0.005372100044041872,88178688,True,16964,,ValueError('Check node requires degree >= 2')
89,M1_ACCUMULATOR_FOREST_MAX,64,2026091003,square,64,64,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.33478823024061705,0.005303499987348914,88178688,True,16964,,ValueError('Check node requires degree >= 2')
