call_idx,identity_idx,schedule,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,check_node_updates,check_edge_updates,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
44,22,FLOODING,1.0,2026091305,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,27,11,0.3544118880017777,105304064,4410,13230,0.999999999999623,0.512803573888462,1.970787534953328,True,CHECK_UPDATED_CURRENT_BELIEF
45,23,ROW_LAYERED,1.0,2026091305,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,39,0.3576275529994746,105304064,3870,11610,0.42994767374163584,0.10068696816784933,4.316337708673165,True,CHECK_UPDATED_CURRENT_BELIEF
46,23,FLOODING,1.0,2026091305,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,39,0.34203371799958404,105304064,3870,11610,0.4299476737416368,0.10068696816784933,4.316337708673165,True,CHECK_UPDATED_CURRENT_BELIEF
47,24,ROW_LAYERED,1.0,2026091305,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,17,3,0.36401732199738035,105304064,3870,11610,0.9999999724402123,0.7282999117675418,1.091858420642981,True,CHECK_UPDATED_CURRENT_BELIEF
48,24,FLOODING,1.0,2026091305,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,17,3,0.34595061800064286,105304064,3870,11610,0.9999999724421135,0.7282706949586139,1.0920344757338736,True,CHECK_UPDATED_CURRENT_BELIEF
49,25,ROW_LAYERED,1.0,2026091306,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,37,39,0.356646908003313,105304064,4410,13230,0.8012465131875639,0.18899333028036108,4.014562461879243,True,CHECK_UPDATED_CURRENT_BELIEF
50,25,FLOODING,1.0,2026091306,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,37,39,0.3517555880025611,105304064,4410,13230,0.8012465131875627,0.18899333028036025,4.014562461879246,True,CHECK_UPDATED_CURRENT_BELIEF
51,26,ROW_LAYERED,1.0,2026091306,L1_ORACLE_U2,L1,49,64,True,True,34,converged_exact,True,0,0,0.13768026800244115,105304064,1666,4998,1.0,0.9878116191056993,0.058968684868442964,True,CHECK_UPDATED_CURRENT_BELIEF
52,26,FLOODING,1.0,2026091306,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,5,5,0.3521055270030047,105304064,4410,13230,1.0,0.9259565820728464,0.06604347949109392,True,CHECK_UPDATED_CURRENT_BELIEF
53,27,ROW_LAYERED,1.0,2026091306,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,41,39,0.30922330299654277,105304064,3870,11610,0.5864390732536798,0.13661240192558927,4.226158459543287,True,CHECK_UPDATED_CURRENT_BELIEF
54,27,FLOODING,1.0,2026091306,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,41,39,0.3064957329988829,105304064,3870,11610,0.5864390732536799,0.13661240192558916,4.226158459543286,True,CHECK_UPDATED_CURRENT_BELIEF
55,28,ROW_LAYERED,1.0,2026091306,L2_ORACLE_U1,L2,43,64,True,True,7,converged_exact,True,0,0,0.02523489000304835,105304064,301,903,0.9999999999855413,0.864689188141049,0.6242749112222215,True,CHECK_UPDATED_CURRENT_BELIEF
